SqFt,Bedrooms,Bathrooms,Dist_Center,House_Age,Floors,Lot_Size,Walk_Score,HOA_Fee,Crime_Rate,Dist_School,Grocery_Stores,Prop_Tax,Maint_Cost,Median_Income,House_Price,Region_B,Region_C,Region_D,Region_E,House_Cond_Low,House_Cond_Medium,Urban_Rural_Urban
1460,3,4,3.0,45,3,18675,44,59.95,106,5.4,16,1.87,9503.13,74679,495656.84,False,False,True,False,True,False,False
5990,6,2,3.1,67,1,9720,77,455.76,54,5.2,17,0.93,6996.62,180344,1402403.89,False,False,True,False,True,False,False
5826,6,4,34.8,24,2,11172,80,498.98,13,2.7,10,1.61,9591.79,127654,1259101.4,False,False,False,False,True,False,True
5791,2,4,23.2,50,2,15457,11,90.3,12,9.4,18,1.73,8706.57,134169,1176431.38,False,False,True,False,False,False,True
4372,2,3,11.7,12,3,3939,92,19.22,83,4.6,12,4.9,3734.43,55109,815844.37,False,False,False,True,True,False,False
3692,6,2,30.9,102,1,15345,31,137.53,89,1.4,8,3.53,1570.49,70670,759583.88,False,False,True,False,False,False,True
1066,1,1,13.0,43,2,17158,55,417.43,26,4.4,27,4.69,5241.04,70022,307054.08,False,False,False,False,False,True,False
5934,3,3,29.1,34,2,6435,23,146.95,88,1.4,26,4.26,754.73,156610,1247970.44,False,True,False,False,True,False,False
5026,5,3,18.3,54,2,6392,12,28.45,136,5.1,3,3.1,1924.21,64237,888133.76,False,False,True,False,False,False,False
4044,2,1,41.3,86,2,8972,19,26.25,40,5.7,27,3.54,2717.61,160605,929136.68,False,False,False,True,False,False,True
3771,2,3,41.1,8,1,18617,78,213.71,47,3.4,20,3.31,6823.64,29363,763955.22,False,False,True,False,False,False,True
3519,6,4,24.1,1,1,15799,55,465.91,11,0.8,24,3.5,5343.84,66304,797008.7,True,False,False,False,False,False,True
730,4,4,17.9,60,1,16052,52,142.96,137,9.4,3,1.69,3372.99,31819,283264.11,False,False,False,False,False,True,True
2285,5,2,18.4,117,1,7044,67,213.58,5,7.8,6,2.34,5865.3,32191,481613.19,False,True,False,False,True,False,False
1369,5,2,40.4,40,2,15415,53,50.97,40,8.4,2,3.17,1689.43,26499,294742.31,True,False,False,False,True,False,True
2991,2,1,16.7,43,3,18274,33,246.79,5,3.7,3,0.66,7679.23,83001,686439.85,False,False,False,True,True,False,True
3033,1,2,10.8,63,3,14858,27,348.27,129,7.6,17,2.67,7264.33,130383,789114.31,False,False,True,False,True,False,True
5911,4,4,4.7,30,2,18572,49,135.58,14,4.9,9,4.37,2556.78,37668,1177043.48,False,False,False,False,True,False,False
5651,5,1,23.6,107,2,6644,1,148.36,144,2.1,4,2.72,6260.72,159834,1132435.37,False,False,True,False,True,False,True
1784,2,1,24.4,46,3,18124,93,420.99,15,1.3,22,2.99,5281.37,116828,483874.1,False,False,True,False,False,False,False
5155,5,2,42.1,1,3,18753,25,5.18,84,3.5,23,1.41,1077.75,170320,1219930.71,False,False,True,False,True,False,True
3985,4,4,11.5,95,2,19384,50,318.24,9,1.5,2,4.07,3142.46,124349,955241.25,False,False,True,False,False,False,True
4717,4,1,19.4,81,2,18855,46,196.94,137,10.0,24,2.11,9995.09,196016,1125364.38,False,False,False,False,False,True,True
3504,6,4,41.3,109,1,17702,83,328.8,18,4.5,9,4.97,5310.91,116188,875889.52,False,False,False,True,False,True,True
1074,6,4,19.5,68,3,6153,91,417.33,67,4.6,14,4.62,8568.67,126942,457110.9,True,False,False,False,True,False,False
1682,2,2,23.2,57,2,2894,83,279.2,41,3.1,26,0.88,3356.19,33070,283456.74,False,False,False,False,False,True,True
3158,4,3,15.5,105,3,8991,74,15.55,139,5.8,11,2.0,2976.73,111392,706042.44,False,False,False,True,False,True,False
2647,3,3,46.7,43,1,16439,73,230.7,145,1.6,2,4.75,8962.53,117164,704939.11,False,True,False,False,False,False,True
3347,3,1,6.4,73,1,10467,60,231.38,83,7.9,21,4.12,3395.88,188879,828889.03,True,False,False,False,False,False,True
1575,5,4,46.7,55,3,6935,22,271.9,133,3.4,2,4.6,6689.19,108959,433431.12,False,False,False,False,False,True,False
2406,5,2,34.4,42,1,18107,36,335.48,52,6.0,27,3.08,7532.97,199105,786651.97,False,False,False,False,False,True,True
789,3,4,26.8,88,2,3329,40,9.66,97,7.2,5,2.66,7991.87,176284,579867.09,False,False,False,False,True,False,False
3334,5,4,2.1,33,3,10327,51,251.01,41,8.9,7,0.98,9950.22,121277,870961.57,False,False,False,True,False,False,False
3605,4,2,24.0,100,2,3770,82,294.15,29,8.4,22,4.28,8130.32,24626,539372.41,False,False,True,False,False,True,True
5258,1,3,20.7,29,2,5846,81,171.68,8,6.1,4,3.85,6741.62,69270,956430.47,False,True,False,False,False,False,True
